ID,Title,Status,Priority,Work Type,Description,URL,Global ID,Assigned to,Teams Assigned to,Requested by,Requested on,Created by,Created on,Planned Start Date,Due date,Estimated Time,Started on,Completed on,Completed by,Last updated,Recurrence,Location,Location ID,Asset,Asset ID,Categories,Vendors,Vendor IDs,Procedure Name,Procedure Template ID,Procedure Passes,Procedure Flags,Procedure Failures,Procedure Score (%),Time to Complete,Time Open,Time In Progress,Time On Hold,Work Request ID,Thumbnail,Attachments,Procedure Description,Meter ID,Meter Condition,Parent,Parent ID,Total Estimated Time,Parent Global ID,Is Parent?,Total Parts Cost,Total Time Cost,Total Reported Time,Additional Costs,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7,Question 8,Answer 8,Question 9,Answer 9,Question 10,Answer 10,Question 11,Answer 11,Question 12,Answer 12,Question 13,Answer 13,Question 14,Answer 14,Question 15,Answer 15
72,Nail cleanup along Distro perimeters,OPEN,,REACTIVE,"Nails keep being found in employees tires after parking along the far wall of Distribution. Need a nail cleanup ASAP along entire perimeter of Distribution, thoroughly, as pallets used to be stored along the exterior walls.

Requester contact information:
emily@hudsonhemp.com",https://app.getmaintainx.com/workorders/51504374?organizationId=342508,51504374,Daniel Crawford,,emily@hudsonhemp.com,2025-03-10 12:03:16,Daniel Crawford,2025-03-10 16:27:47,2025-03-11 00:00:00,2025-03-14,1:00:00,,,,2025-03-10 16:27:47,,Hudson NY,2648779,,,,,,,,,,,,,,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Change all filters in  Hash Lab Willow Air Units,DONE,,PREVENTIVE,Please replace all filters in Hash Lab! Theyre lookin quite green,https://app.getmaintainx.com/workorders/51571185?organizationId=342508,51571185,Daniel Crawford,,,,Daniel Crawford,2025-03-11 10:19:40,2025-04-07 13:00:00,2025-04-11,1:00:00,2025-03-17 15:23:42,2025-04-29 11:05:38,Daniel Crawford,2025-04-29 11:05:38,MonthlyByWeekday|1|Second_Fri,Hash Lab,2661286,Willows Air Hash Lab,7738793,,,,,,0,0,0,,526:05:23,526:05:23,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Change all Willow Air Filters in Processing Filters,DONE,,PREVENTIVE,Air purifiers in Processing need new filters (2 purifiers in room),https://app.getmaintainx.com/workorders/51571193?organizationId=342508,51571193,Daniel Crawford,,,,Daniel Crawford,2025-03-11 10:19:44,2025-04-07 13:00:00,2025-04-11,1:00:00,2025-03-17 15:23:46,2025-04-29 11:05:34,Daniel Crawford,2025-04-29 11:05:34,MonthlyByWeekday|1|Second_Fri,Processing,2648780,Willow Air,7741256,,,,,,0,0,0,,526:05:20,526:05:20,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Change all filters in  Hash Lab Willow Air Units,DONE,,PREVENTIVE,Please replace all filters in Hash Lab! Theyre lookin quite green,https://app.getmaintainx.com/workorders/52084287?organizationId=342508,52084287,Daniel Crawford,,,,Daniel Crawford,2025-03-17 15:23:42,2025-05-05 13:00:00,2025-05-09,1:00:00,2025-05-06 07:45:38,2025-05-06 07:45:38,Daniel Crawford,2025-05-06 07:45:38,MonthlyByWeekday|1|Second_Fri,Hash Lab,2661286,Willows Air Hash Lab,7738793,,,,,,0,0,0,,18:45:38,18:45:38,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Change all Willow Air Filters in Processing Filters,DONE,,PREVENTIVE,Air purifiers in Processing need new filters (2 purifiers in room),https://app.getmaintainx.com/workorders/52084294?organizationId=342508,52084294,Daniel Crawford,,,,Daniel Crawford,2025-03-17 15:23:46,2025-05-05 13:00:00,2025-05-09,1:00:00,2025-05-06 07:45:35,2025-05-06 07:45:35,Daniel Crawford,2025-05-06 07:45:35,MonthlyByWeekday|1|Second_Fri,Processing,2648780,Willow Air,7741256,,,,,,0,0,0,,18:45:36,18:45:36,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Fire Safety Training - Yearly,DONE,HIGH,PREVENTIVE,Conduct yearly fire safety training,https://app.getmaintainx.com/workorders/52089112?organizationId=342508,52089112,Daniel Crawford,,,,Daniel Crawford,2025-03-17 16:06:34,,2025-03-18,1:00:00,2025-03-17 16:07:00,2025-03-19 08:14:31,Daniel Crawford,2025-03-19 08:14:31,Yearly|1,Hudson NY,2648779,,,,,,,,0,0,0,,40:07:53,0:00:26,40:07:27,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Fire Safety Training - Yearly,OPEN,HIGH,PREVENTIVE,Conduct yearly fire safety training,https://app.getmaintainx.com/workorders/52089147?organizationId=342508,52089147,Daniel Crawford,,,,Daniel Crawford,2025-03-17 16:07:00,2025-03-19 00:00:00,2026-03-18,1:00:00,,,,2025-03-17 16:07:00,Yearly|1,Hudson NY,2648779,,,,,,,,,,,,,,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Get Filter Sizes for Dryroom Equipment,DONE,MEDIUM,REACTIVE,Obtain filter sizes for all dry room equipment and document for PM program,https://app.getmaintainx.com/workorders/52195311?organizationId=342508,52195311,Daniel Crawford,,,,Daniel Crawford,2025-03-18 13:37:47,2025-03-19 00:00:00,2025-03-28,1:00:00,2025-03-26 10:33:54,2025-03-26 10:33:54,Daniel Crawford,2025-03-26 10:33:54,,,,,,,,,,,0,0,0,,178:33:55,178:33:55,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Replace Steam Canister and Clean Drain Valve,DONE,MEDIUM,PREVENTIVE,"TO REPLACE THE CANISTER
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. Remove O-ring from groove in drain assembly using a small screw
driver
8. Insect drain assembly and remove any debris – see TO CLEAN THE
DRAIN VALVE
9. Insert new O-ring into groove in drain assembly (O-ring is provided
with Model 80 and Model 80LC canisters ) Dampen O-ring with
water before inserting canister Do not use oil, grease, or any
lubricant besides water
10. Make sure strainer is inserted into bottom of new canister
11. Insert canister into drain assembly Position canister with label facing
outward
12. Reconnect steam hose and wires ensuring wires are fully seated
13. Replace front door
14. Restore electrical power to humidifier
15. Turn humidifier On and verify green On/Off light is illuminated
16. See Start-up procedure
17. Check for leaks.




TO CLEAN THE DRAIN VALVE
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit
breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. With your finger swirl the fluid/precipitate mixture in the bottom of
the drain valve reservoir
8. Using a sponge or paper towels soak up the water in the reservoir,
if necessary use a wet/dry vacuum to remove residue
9. Clean the inside of the drain port (where coil projects out) by
gently swabbing with a bent cotton swab or other soft implement
10. Rinse the drain valve reservoir with clean water and vacuum as
necessary
11. Replace canister, reconnect steam hose and wires ensuring wires
are fully seated
12. Replace front door
13. Restore electrical power to humidifier
14. Turn humidifier On and verify green On/Off light is illuminated
15. See Start-up procedure
16. Check for leaks",https://app.getmaintainx.com/workorders/52219987?organizationId=342508,52219987,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-18 14:53:01,2025-05-01 09:00:00,2025-06-01,1:00:00,2025-07-29 10:49:15,2025-07-29 10:49:15,Daniel Crawford,2025-07-29 10:49:15,Yearly|1,General,2648754,Processing Humidifier,9547724,"Mechanical,Preventive",,,,,0,0,0,,2137:49:16,2137:49:16,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Replace Steam Canister and Clean Drain Valve,DONE,MEDIUM,PREVENTIVE,"TO REPLACE THE CANISTER
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. Remove O-ring from groove in drain assembly using a small screw
driver
8. Insect drain assembly and remove any debris – see TO CLEAN THE
DRAIN VALVE
9. Insert new O-ring into groove in drain assembly (O-ring is provided
with Model 80 and Model 80LC canisters ) Dampen O-ring with
water before inserting canister Do not use oil, grease, or any
lubricant besides water
10. Make sure strainer is inserted into bottom of new canister
11. Insert canister into drain assembly Position canister with label facing
outward
12. Reconnect steam hose and wires ensuring wires are fully seated
13. Replace front door
14. Restore electrical power to humidifier
15. Turn humidifier On and verify green On/Off light is illuminated
16. See Start-up procedure
17. Check for leaks.




TO CLEAN THE DRAIN VALVE
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit
breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. With your finger swirl the fluid/precipitate mixture in the bottom of
the drain valve reservoir
8. Using a sponge or paper towels soak up the water in the reservoir,
if necessary use a wet/dry vacuum to remove residue
9. Clean the inside of the drain port (where coil projects out) by
gently swabbing with a bent cotton swab or other soft implement
10. Rinse the drain valve reservoir with clean water and vacuum as
necessary
11. Replace canister, reconnect steam hose and wires ensuring wires
are fully seated
12. Replace front door
13. Restore electrical power to humidifier
14. Turn humidifier On and verify green On/Off light is illuminated
15. See Start-up procedure
16. Check for leaks",https://app.getmaintainx.com/workorders/52220032?organizationId=342508,52220032,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-18 14:53:18,2025-05-01 09:00:00,2025-06-01,1:00:00,2025-07-29 10:49:11,2025-07-29 10:49:11,Daniel Crawford,2025-07-29 10:49:11,Yearly|1,General,2648754,Dry Room #2 Humidifier,9547730,"Mechanical,Preventive",,,,,0,0,0,,2137:49:12,2137:49:12,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Replace Steam Canister and Clean Drain Valve,DONE,MEDIUM,PREVENTIVE,"TO REPLACE THE CANISTER
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. Remove O-ring from groove in drain assembly using a small screw
driver
8. Insect drain assembly and remove any debris – see TO CLEAN THE
DRAIN VALVE
9. Insert new O-ring into groove in drain assembly (O-ring is provided
with Model 80 and Model 80LC canisters ) Dampen O-ring with
water before inserting canister Do not use oil, grease, or any
lubricant besides water
10. Make sure strainer is inserted into bottom of new canister
11. Insert canister into drain assembly Position canister with label facing
outward
12. Reconnect steam hose and wires ensuring wires are fully seated
13. Replace front door
14. Restore electrical power to humidifier
15. Turn humidifier On and verify green On/Off light is illuminated
16. See Start-up procedure
17. Check for leaks.




TO CLEAN THE DRAIN VALVE
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit
breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. With your finger swirl the fluid/precipitate mixture in the bottom of
the drain valve reservoir
8. Using a sponge or paper towels soak up the water in the reservoir,
if necessary use a wet/dry vacuum to remove residue
9. Clean the inside of the drain port (where coil projects out) by
gently swabbing with a bent cotton swab or other soft implement
10. Rinse the drain valve reservoir with clean water and vacuum as
necessary
11. Replace canister, reconnect steam hose and wires ensuring wires
are fully seated
12. Replace front door
13. Restore electrical power to humidifier
14. Turn humidifier On and verify green On/Off light is illuminated
15. See Start-up procedure
16. Check for leaks",https://app.getmaintainx.com/workorders/52220059?organizationId=342508,52220059,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-18 14:53:35,2025-05-01 09:00:00,2025-06-01,1:00:00,2025-07-29 10:49:09,2025-07-29 10:49:09,Daniel Crawford,2025-07-29 10:49:09,Yearly|1,General,2648754,Dry Room 3 Humidifier,9547734,"Mechanical,Preventive",,,,,0,0,0,,2137:49:09,2137:49:09,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Replace Steam Canister and Clean Drain Valve,DONE,MEDIUM,PREVENTIVE,"TO REPLACE THE CANISTER
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. Remove O-ring from groove in drain assembly using a small screw
driver
8. Insect drain assembly and remove any debris – see TO CLEAN THE
DRAIN VALVE
9. Insert new O-ring into groove in drain assembly (O-ring is provided
with Model 80 and Model 80LC canisters ) Dampen O-ring with
water before inserting canister Do not use oil, grease, or any
lubricant besides water
10. Make sure strainer is inserted into bottom of new canister
11. Insert canister into drain assembly Position canister with label facing
outward
12. Reconnect steam hose and wires ensuring wires are fully seated
13. Replace front door
14. Restore electrical power to humidifier
15. Turn humidifier On and verify green On/Off light is illuminated
16. See Start-up procedure
17. Check for leaks.




TO CLEAN THE DRAIN VALVE
1. Turn humidifier off
2. Unit will go through drain cycle – 4 mins – and turn off when
complete
3. Disconnect main electrical power to humidifier at the circuit
breaker
4. Allow the unit to cool
5. Remove front door
6. Remove electrode wires, high water probe wire, steam hose and
canister
7. With your finger swirl the fluid/precipitate mixture in the bottom of
the drain valve reservoir
8. Using a sponge or paper towels soak up the water in the reservoir,
if necessary use a wet/dry vacuum to remove residue
9. Clean the inside of the drain port (where coil projects out) by
gently swabbing with a bent cotton swab or other soft implement
10. Rinse the drain valve reservoir with clean water and vacuum as
necessary
11. Replace canister, reconnect steam hose and wires ensuring wires
are fully seated
12. Replace front door
13. Restore electrical power to humidifier
14. Turn humidifier On and verify green On/Off light is illuminated
15. See Start-up procedure
16. Check for leaks",https://app.getmaintainx.com/workorders/52220098?organizationId=342508,52220098,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-18 14:54:04,2025-05-01 09:00:00,2025-06-01,1:00:00,2025-07-29 10:49:06,2025-07-29 10:49:06,Daniel Crawford,2025-07-29 10:49:06,Yearly|1,General,2648754,Pre-Roll Room Humidifier,9547726,"Mechanical,Preventive",,,,,0,0,0,,2137:49:07,2137:49:07,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Change Filters,DONE,,PREVENTIVE,Change Filters on Willow Air unit.  Report filters remaining in stock.,https://app.getmaintainx.com/workorders/52292672?organizationId=342508,52292672,Daniel Crawford,,,,Daniel Crawford,2025-03-19 10:02:42,2025-04-21 12:00:00,2025-04-21,1:00:00,2025-04-29 11:05:29,2025-04-29 11:05:29,Daniel Crawford,2025-04-29 11:05:29,Weekly|6|Monday,Processing,2648780,Willow Air,7741256,,,,,,0,0,0,,191:05:30,191:05:30,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Change Filters,DONE,,PREVENTIVE,Change Filters on Willow Air unit.  Report filters remaining in stock.,https://app.getmaintainx.com/workorders/52292683?organizationId=342508,52292683,Daniel Crawford,,,,Daniel Crawford,2025-03-19 10:02:44,2025-04-21 12:00:00,2025-04-21,1:00:00,2025-04-29 11:05:26,2025-04-29 11:05:26,Daniel Crawford,2025-04-29 11:05:26,Weekly|6|Monday,Processing,2648780,Willow Air #2 - Processing,7851714,,,,,,0,0,0,,191:05:26,191:05:26,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Change Filters,DONE,,PREVENTIVE,Change Filters on Willow Air unit.  Report filters remaining in stock.,https://app.getmaintainx.com/workorders/52292688?organizationId=342508,52292688,Daniel Crawford,,,,Daniel Crawford,2025-03-19 10:02:47,2025-04-21 12:00:00,2025-04-21,1:00:00,2025-04-29 11:05:22,2025-04-29 11:05:22,Daniel Crawford,2025-04-29 11:05:22,Weekly|6|Monday,Hash Lab,2661286,Willows Air Hash Lab,7738793,,,,,,0,0,0,,191:05:23,191:05:23,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Inspect Batteries and Refill,DONE,MEDIUM,PREVENTIVE,"I. Safety Precautions

    Personal Protective Equipment (PPE):

        Wear safety goggles, gloves, and protective clothing.

        Use a face shield if necessary.

    Work Area Safety:

        Ensure the forklift is turned off and the key is removed.

        Work in a well-ventilated area to avoid inhaling fumes.

        Keep sparks, flames, and smoking materials away from the battery area.

    Battery Safety:

        Be cautious of acid spills and leaks.

        Avoid short-circuiting the battery terminals.

II. Tools and Materials Needed

    Distilled water (never use tap water)

    Hydrometer (optional, for checking electrolyte levels)

    Funnel (preferably with a narrow spout)

    Clean cloth or paper towels

    Baking soda (for cleaning up acid spills)

    Wrench or pliers (if battery caps are tight)

III. Steps to Check and Refill Distilled Water

    Access the Battery Compartment:

        Locate the battery compartment on the forklift.

        Open the battery compartment cover or door as per the forklift’s design.

    Inspect the Battery:

        Check for any visible damage, leaks, or corrosion on the battery casing.

        If corrosion is present, clean the terminals with a mixture of baking soda and water, then rinse with clean water and dry.

    Open the Battery Cell Caps:

        Carefully remove the caps from the battery cells. Some batteries may have a single cover with multiple caps, while others may have individual caps.

        Use a wrench or pliers if the caps are tight, but be gentle to avoid damaging them.

    Check the Electrolyte Levels:

        Look inside each cell to check the level of the electrolyte (the liquid covering the battery plates).

        The electrolyte should cover the plates by about 1/4 to 1/2 inch (6-12 mm). If the plates are exposed, the battery needs water.

    Refill with Distilled Water:

        Using a funnel, slowly add distilled water to each cell until the electrolyte level is just above the plates.

        Do not overfill, as the electrolyte can expand during charging and overflow.

        If you accidentally overfill, use a clean syringe or turkey baster to remove excess water.

    Close the Battery Cell Caps:

        Securely replace the caps on each cell, ensuring they are tight but not over-tightened.

        Wipe away any spilled water or electrolyte with a clean cloth.

    Clean the Battery and Compartment:

        Wipe down the battery casing and surrounding area to remove any dirt or residue.

        Ensure the battery compartment is clean and dry before closing it.

    Close the Battery Compartment:

        Securely close the battery compartment cover or door.

IV. Post-Refill Checks

    Inspect for Leaks:

        After refilling, check for any leaks around the battery caps or casing.

    Charge the Battery:

        If the battery was low on water, it may need to be charged. Follow the forklift’s manual for proper charging procedures.

    Monitor Battery Performance:

        Keep an eye on the battery’s performance and water levels over the next few days to ensure everything is functioning correctly.

V. Maintenance Tips

    Regular Checks: Check the water levels in the battery regularly, especially if the forklift is used frequently.

    Avoid Overcharging: Overcharging can cause the battery to lose water more quickly. Ensure the charging system is functioning correctly.

    Keep Records: Maintain a log of when you check and refill the battery to track its maintenance history.

VI. Troubleshooting

    Low Electrolyte Levels: If the battery consistently requires frequent refilling, it may indicate overcharging or a faulty battery.

    Corrosion: If corrosion is a recurring issue, consider applying a corrosion-resistant spray or gel to the terminals.

    Battery Not Holding Charge: If the battery is not holding a charge despite proper maintenance, it may need to be replaced.",https://app.getmaintainx.com/workorders/52296040?organizationId=342508,52296040,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-19 10:25:52,2025-05-01 00:00:00,2025-06-01,1:00:00,2025-07-29 10:49:01,2025-07-29 10:49:01,Daniel Crawford,2025-07-29 10:49:01,Yearly|1,General,2648754,Crown Electric Forklift,9559850,"Inspection,Mechanical",,,,,0,0,0,,2146:49:02,2146:49:02,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Move items from warehouse hallway,DONE,,REACTIVE,"Items for preroll room construction need to be moved before EOD

Requester contact information:
Kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/52297983?organizationId=342508,52297983,Daniel Crawford,,Kacey@hudsonhemp.com,2025-03-19 10:40:35,Daniel Crawford,2025-03-19 10:41:21,,,1:00:00,2025-04-29 09:54:57,2025-04-29 09:54:57,Daniel Crawford,2025-04-29 09:54:57,,Hudson NY,2648779,,,,,,,,0,0,0,,983:13:35,358:28:10,,624:45:25,,https://app.getmaintainx.com/api/s3/uploads/804db852-0c27-46bb-9e11-d6451ae90fcd_254DED3C-FDB8-43E1-B8EE-1FE9F681E984.jpeg,https://app.getmaintainx.com/api/s3/uploads/804db852-0c27-46bb-9e11-d6451ae90fcd_254DED3C-FDB8-43E1-B8EE-1FE9F681E984.jpeg,,,,,,,,false,$0.00,$0.00,0:10:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Please fix/work on distro/hash golf cart,DONE,MEDIUM,REACTIVE,"The distro/hash golf cart has been dead for four months now and hasn’t been in use. Can this be maintained and fixed please?

Requester contact information:
Emily@hudsonhemp.com",https://app.getmaintainx.com/workorders/52376246?organizationId=342508,52376246,Daniel Crawford,,Emily@hudsonhemp.com,2025-03-19 15:11:54,Daniel Crawford,2025-03-20 07:31:29,2025-03-31 00:00:00,2025-04-04,1:00:00,2025-04-01 11:53:18,2025-04-01 11:53:18,Daniel Crawford,2025-04-01 11:53:18,,Hudson NY,2648779,,,,,,,,0,0,0,,35:53:19,35:53:19,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Clean and inspect,DONE,MEDIUM,PREVENTIVE,"Open the cover and take a small vacuum and clean any debris out of the unit. Then remove the filters and clean out in the sink. Allow them to dry and then reinstall. If the filters are too dirty, replace with new filters.",https://app.getmaintainx.com/workorders/52828635?organizationId=342508,52828635,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:02:07,2025-03-01 00:00:00,2025-03-26,1:00:00,2025-04-11 10:03:49,2025-04-11 10:03:49,Daniel Crawford,2025-04-11 10:03:49,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room 2 ERV #2,9544400,,,,,,0,0,0,,403:01:41,403:01:41,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Clean and inspect,DONE,MEDIUM,PREVENTIVE,"Open the cover and take a small vacuum and clean any debris out of the unit. Then remove the filters and clean out in the sink. Allow them to dry and then reinstall. If the filters are too dirty, replace with new filters.",https://app.getmaintainx.com/workorders/52828660?organizationId=342508,52828660,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:02:21,2025-03-01 00:00:00,2025-03-26,1:00:00,2025-04-11 10:03:44,2025-04-11 10:03:44,Daniel Crawford,2025-04-11 10:03:44,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room 1 ERV #2,9544399,,,,,,0,0,0,,403:01:22,403:01:22,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Clean and inspect,DONE,MEDIUM,PREVENTIVE,"Open the cover and take a small vacuum and clean any debris out of the unit. Then remove the filters and clean out in the sink. Allow them to dry and then reinstall. If the filters are too dirty, replace with new filters.",https://app.getmaintainx.com/workorders/52828688?organizationId=342508,52828688,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:02:36,2025-03-01 00:00:00,2025-03-26,1:00:00,2025-04-11 10:03:38,2025-04-11 10:03:38,Daniel Crawford,2025-04-11 10:03:38,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room 3 ERV #2,9544402,,,,,,0,0,0,,403:01:01,403:01:01,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Clean and inspect,DONE,MEDIUM,PREVENTIVE,"Open the cover and take a small vacuum and clean any debris out of the unit. Then remove the filters and clean out in the sink. Allow them to dry and then reinstall. If the filters are too dirty, replace with new filters.",https://app.getmaintainx.com/workorders/52829099?organizationId=342508,52829099,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:06:21,2025-03-01 00:00:00,2025-03-26,1:00:00,2025-04-11 10:03:41,2025-04-11 10:03:41,Daniel Crawford,2025-04-11 10:03:41,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room 2 ERV #1,9662130,,,,,,0,0,0,,402:57:20,402:57:20,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Clean and inspect,DONE,MEDIUM,PREVENTIVE,"Open the cover and take a small vacuum and clean any debris out of the unit. Then remove the filters and clean out in the sink. Allow them to dry and then reinstall. If the filters are too dirty, replace with new filters.",https://app.getmaintainx.com/workorders/52829245?organizationId=342508,52829245,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:07:47,2025-03-01 00:00:00,2025-03-26,1:00:00,2025-04-11 10:03:35,2025-04-11 10:03:35,Daniel Crawford,2025-04-11 10:03:35,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room 1 ERV #1,9662207,,,,,,0,0,0,,402:55:47,402:55:47,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Clean and inspect,DONE,MEDIUM,PREVENTIVE,"Open the cover and take a small vacuum and clean any debris out of the unit. Then remove the filters and clean out in the sink. Allow them to dry and then reinstall. If the filters are too dirty, replace with new filters.",https://app.getmaintainx.com/workorders/52829592?organizationId=342508,52829592,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:10:42,2025-03-01 00:00:00,2025-03-26,1:00:00,2025-04-11 10:03:29,2025-04-11 10:03:29,Daniel Crawford,2025-04-11 10:03:29,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room 3 ERV #1,9662223,,,,,,0,0,0,,402:52:47,402:52:47,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Inspect and change filter,DONE,,PREVENTIVE,"Open the door and take a small vacuum and vacuum any debris. Inspect the filter for cleanliness, if equipment hasn't been run or it's in the off-season skip until next cycle. If the filter appears dirty, change it out.",https://app.getmaintainx.com/workorders/52830520?organizationId=342508,52830520,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:18:12,2025-03-01 00:00:00,2025-04-07,1:00:00,2025-05-27 09:41:25,2025-05-27 09:41:25,Daniel Crawford,2025-05-27 09:41:25,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room #3 HVAC #1,9662254,,,,,,0,0,0,,1506:23:12,1506:23:12,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Inspect and change filter,DONE,,PREVENTIVE,"Open the door and take a small vacuum and vacuum any debris. Inspect the filter for cleanliness, if equipment hasn't been run or it's in the off-season skip until next cycle. If the filter appears dirty, change it out.",https://app.getmaintainx.com/workorders/52830879?organizationId=342508,52830879,Daniel Crawford,Facilities,,,Daniel Crawford,2025-03-25 15:20:58,2025-03-01 00:00:00,2025-04-07,1:00:00,2025-05-27 09:41:21,2025-05-27 09:41:21,Daniel Crawford,2025-05-27 09:41:21,MonthlyByWeekday|1|First_Mon,General,2648754,Dry Room #3 HVAC #2,9662272,,,,,,0,0,0,,1506:20:22,1506:20:22,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
